127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:13] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:33] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 06:02:34] "GET /js/mega.js HTTP/1.1" 200 -
